Zaobserowano, że średnio najszybciej program działał w sposobie dynamicznym z optymalizacją O
oraz statycznym z Os. Najwolniej natomiast z O2 dynamicznie i O3 statycznie.
Różnice nie są jednak zbyt duże.


 With optimalization: O 
With static: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	



 With optimalization: O1 
With static: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.020000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	
With shared: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	
With dynamic: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.130000	       0.000000	       0.000000	



 With optimalization: O2 
With static: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	
With shared: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	
With dynamic: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	



 With optimalization: O3 
With static: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	
With shared: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.130000	       0.000000	       0.000000	
With dynamic: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	



 With optimalization: O0 
With static: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.130000	       0.000000	       0.000000	
With shared: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	
With dynamic: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.020000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.120000	       0.000000	       0.000000	



 With optimalization: Os 
With static: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.130000	       0.000000	       0.000000	
With shared: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.130000	       0.000000	       0.000000	
With dynamic: 
           Real	           User	         System
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.040000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.010000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.000000	       0.000000	       0.000000	
       0.030000	       0.000000	       0.000000	
       0.130000	       0.000000	       0.000000	
